(min_dist,	velocity,	distance,	time_elapsed,	X position,	Y position
(0.521952,	0.000000,	0.000000,	0.047873,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055397,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047698,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055462,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047482,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055727,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.048297,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055124,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047633,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055430,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047555,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055727,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047642,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055663,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047547,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055511,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.048308,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055085,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047717,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055514,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047392,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055740,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047593,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055599,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.049673,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.053630,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.048140,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.054989,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047659,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055671,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047631,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055509,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.047698,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.055528,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.051991,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.050093,	-2.118880,	-0.565442)
(0.521952,	0.000000,	0.000000,	0.053787,	-2.118880,	-0.565442)
(0.520783,	0.000000,	0.000000,	0.050565,	-2.118880,	-0.565442)
(
