(min_dist,	velocity,	distance,	time_elapsed,	X position,	Y position
(0.481888,	0.678487,	0.035161,	0.051823,	-5.263615,	-3.141951)
(0.506190,	0.695566,	0.036782,	0.052880,	-5.286396,	-3.113074)
(0.527548,	0.757349,	0.038136,	0.050355,	-5.307941,	-3.081607)
(0.543121,	0.770853,	0.039822,	0.051660,	-5.328264,	-3.047361)
(0.560645,	0.799058,	0.041329,	0.051722,	-5.347157,	-3.010603)
(0.580034,	0.826098,	0.042534,	0.051488,	-5.364334,	-2.971691)
(0.601517,	0.845650,	0.043488,	0.051425,	-5.379503,	-2.930935)
(0.605504,	0.858176,	0.044246,	0.051558,	-5.392373,	-2.888602)
(0.628695,	0.815165,	0.042152,	0.051710,	-5.401511,	-2.847452)
(0.622895,	0.805519,	0.041596,	0.051639,	-5.407168,	-2.806243)
(0.620527,	0.826899,	0.042624,	0.051546,	-5.410259,	-2.763731)
(0.620006,	0.829354,	0.042959,	0.051798,	-5.411347,	-2.720786)
(0.620118,	0.840601,	0.043411,	0.051643,	-5.411090,	-2.677376)
(0.620406,	0.847839,	0.043748,	0.051600,	-5.409924,	-2.633643)
(0.620794,	0.855814,	0.044228,	0.051679,	-5.408048,	-2.589456)
(0.621116,	0.856425,	0.044100,	0.051494,	-5.405641,	-2.545421)
(0.621396,	0.855049,	0.044216,	0.051712,	-5.402857,	-2.501292)
(0.601597,	0.856801,	0.044277,	0.051677,	-5.399781,	-2.457123)
(0.601788,	0.859669,	0.044313,	0.051547,	-5.396460,	-2.412934)
(0.601336,	0.688661,	0.035327,	0.051299,	-5.393894,	-2.377700)
(0.600925,	0.683289,	0.035276,	0.051626,	-5.391714,	-2.342492)
(0.600676,	0.619423,	0.035333,	0.057042,	-5.389877,	-2.307206)
(0.600531,	0.947499,	0.044078,	0.046520,	-5.387889,	-2.263173)
(0.600442,	0.854971,	0.043932,	0.051385,	-5.386111,	-2.219277)
(0.600390,	0.845907,	0.043813,	0.051794,	-5.384474,	-2.175494)
(0.600363,	0.851000,	0.043716,	0.051371,	-5.382922,	-2.131805)
(0.600354,	0.845171,	0.043638,	0.051632,	-5.381413,	-2.088194)
(0.580346,	0.846148,	0.043573,	0.051495,	-5.379914,	-2.044647)
(0.580345,	0.841882,	0.043519,	0.051692,	-5.378401,	-2.001155)
(0.580137,	0.841276,	0.043573,	0.051794,	-5.377136,	-1.957600)
(0.580025,	0.843116,	0.043537,	0.051638,	-5.376422,	-1.914069)
(0.580000,	0.839394,	0.043269,	0.051547,	-5.376198,	-1.870801)
(0.580009,	0.830096,	0.043000,	0.051801,	-5.376340,	-1.827801)
(0.580175,	1.207743,	0.062104,	0.051422,	-5.375888,	-1.765699)
(0.580908,	1.202258,	0.061889,	0.051478,	-5.373537,	-1.703854)
(0.582035,	1.206896,	0.062446,	0.051741,	-5.369308,	-1.641552)
(0.643739,	1.220386,	0.063003,	0.051625,	-5.363395,	-1.578827)
(0.646224,	1.230267,	0.063454,	0.051577,	-5.355991,	-1.515807)
(0.659060,	1.085117,	0.064318,	0.059273,	-5.346808,	-1.452147)
(0.659370,	2.279713,	0.099987,	0.043859,	-5.328271,	-1.353894)
(0.660016,	1.933739,	0.099988,	0.051707,	-5.304413,	-1.256793)
(0.719843,	1.936053,	0.099992,	0.051648,	-5.275927,	-1.160944)
(0.838745,	1.939375,	0.099995,	0.051561,	-5.243809,	-1.066247)
(0.952962,	1.935954,	0.099994,	0.051651,	-5.208409,	-0.972729)
(0.963781,	1.933569,	0.099991,	0.051713,	-5.169171,	-0.880758)
(0.881094,	1.944726,	0.099994,	0.051418,	-5.126004,	-0.790562)
(0.774366,	1.938567,	0.099996,	0.051582,	-5.079683,	-0.701942)
(0.691999,	1.939578,	0.099998,	0.051556,	-5.030988,	-0.614601)
(0.605864,	1.885243,	0.097445,	0.051688,	-4.981812,	-0.530475)
(0.517044,	1.727953,	0.089223,	0.051635,	-4.935563,	-0.454174)
(0.449672,	1.563555,	0.080612,	0.051557,	-4.892894,	-0.385781)
(0.386204,	0.881914,	0.045694,	0.051812,	-4.868369,	-0.347226)
(0.329270,	0.278565,	0.014377,	0.051610,	-4.860313,	-0.335318)
(0.346687,	0.000000,	0.000000,	0.052458,	-4.860313,	-0.335318)
(0.343889,	0.000000,	0.000000,	0.050513,	-4.860313,	-0.335318)
(0.363596,	0.088182,	0.014319,	0.059404,	-4.848852,	-0.326736)
(0.334737,	0.000000,	0.000000,	0.043962,	-4.848852,	-0.326736)
(0.354949,	0.000000,	0.000000,	0.051711,	-4.848852,	-0.326736)
(0.355022,	0.038148,	0.005909,	0.059237,	-4.843270,	-0.324797)
(0.313599,	0.309341,	0.015201,	0.049141,	-4.829281,	-0.318847)
(0.303475,	0.326688,	0.015269,	0.046740,	-4.816316,	-0.310781)
(0.310178,	0.030919,	0.001744,	0.056409,	-4.814867,	-0.309810)
(0.327677,	0.000000,	0.000000,	0.054149,	-4.814867,	-0.309810)
(0.304835,	0.000000,	0.000000,	0.049223,	-4.814867,	-0.309810)
(0.317705,	0.000000,	0.000000,	0.054103,	-4.814867,	-0.309810)
(0.301133,	0.000000,	0.000000,	0.049125,	-4.814867,	-0.309810)
(0.324194,	0.019237,	0.005014,	0.054030,	-4.809858,	-0.310024)
(0.302856,	0.000000,	0.000000,	0.049244,	-4.809858,	-0.310024)
(0.300002,	0.106419,	0.010984,	0.053970,	-4.798902,	-0.310800)
(0.303553,	0.000000,	0.000000,	0.049274,	-4.798902,	-0.310800)
(0.315040,	0.000000,	0.000000,	0.053881,	-4.798902,	-0.310800)
(0.300557,	0.000000,	0.000000,	0.049173,	-4.798902,	-0.310800)
(0.319283,	0.016358,	0.003374,	0.053919,	-4.795799,	-0.312124)
(0.301446,	0.303128,	0.014982,	0.049425,	-4.782095,	-0.318179)
(0.319283,	0.000000,	0.000000,	0.053950,	-4.782095,	-0.318179)
(0.321543,	0.120626,	0.012437,	0.049152,	-4.770719,	-0.323206)
(0.320311,	0.000000,	0.000000,	0.054106,	-4.770719,	-0.323206)
(0.321606,	0.100529,	0.010377,	0.049120,	-4.761200,	-0.327338)
(0.323027,	0.283490,	0.015354,	0.054159,	-4.748187,	-0.335487)
(0.340009,	0.219798,	0.010783,	0.049058,	-4.739966,	-0.342463)
(0.341969,	0.362002,	0.019619,	0.054196,	-4.726702,	-0.356919)
(0.363855,	0.305199,	0.015014,	0.049196,	-4.717497,	-0.368781)
(0.362084,	0.158996,	0.008565,	0.053871,	-4.712262,	-0.375561)
(0.383026,	0.404360,	0.019947,	0.049330,	-4.699924,	-0.391234)
(0.380002,	0.163870,	0.008831,	0.053892,	-4.694139,	-0.397907)
(0.400039,	0.415088,	0.018421,	0.044378,	-4.681081,	-0.410900)
(0.402306,	0.212012,	0.012495,	0.058934,	-4.671789,	-0.419253)
(0.426924,	0.251576,	0.012397,	0.049279,	-4.661790,	-0.426582)
(0.423081,	0.291894,	0.016058,	0.055015,	-4.648076,	-0.434937)
(0.441729,	0.314420,	0.015143,	0.048162,	-4.634781,	-0.442186)
(0.441441,	0.305673,	0.016508,	0.054005,	-4.620125,	-0.449784)
(0.440742,	0.342952,	0.016913,	0.049315,	-4.604999,	-0.457349)
(0.460393,	0.311026,	0.016766,	0.053905,	-4.589851,	-0.464534)
(0.460678,	0.338908,	0.016639,	0.049095,	-4.574798,	-0.471624)
(0.460346,	0.322820,	0.016464,	0.050999,	-4.559907,	-0.478645)
(0.480045,	0.310397,	0.016258,	0.052378,	-4.545066,	-0.485283)
(0.480003,	0.302801,	0.016352,	0.054001,	-4.530003,	-0.491645)
(0.480597,	0.343608,	0.016891,	0.049157,	-4.514251,	-0.497744)
(0.502265,	0.323251,	0.017451,	0.053985,	-4.497705,	-0.503287)
(0.503892,	0.368239,	0.018160,	0.049315,	-4.480281,	-0.508404)
(0.507523,	0.350842,	0.018951,	0.054017,	-4.461908,	-0.513051)
(0.508260,	0.392815,	0.019294,	0.049117,	-4.443011,	-0.516944)
(0.526067,	0.371016,	0.020017,	0.053953,	-4.423276,	-0.520297)
(0.524175,	0.417152,	0.020619,	0.049429,	-4.402867,	-0.523233)
(0.520109,	0.426397,	0.023033,	0.054017,	-4.379910,	-0.525100)
(0.521495,	0.473956,	0.023251,	0.049057,	-4.356665,	-0.524607)
(0.524721,	0.367684,	0.019897,	0.054115,	-4.336870,	-0.522589)
(0.505481,	0.381161,	0.018768,	0.049239,	-4.318286,	-0.519965)
(0.504982,	0.358003,	0.019309,	0.053934,	-4.299181,	-0.517170)
(0.502480,	0.389064,	0.019161,	0.049250,	-4.280165,	-0.514821)
(0.501128,	0.344915,	0.018624,	0.053996,	-4.261608,	-0.513232)
(0.500545,	0.365508,	0.018007,	0.049267,	-4.243631,	-0.512187)
(0.500448,	0.333826,	0.018026,	0.053999,	-4.225623,	-0.511379)
(0.500401,	0.365034,	0.017931,	0.049121,	-4.207708,	-0.510639)
(0.500383,	0.329063,	0.017796,	0.054080,	-4.189926,	-0.509931)
(0.500268,	0.310366,	0.015268,	0.049194,	-4.174668,	-0.509375)
(0.500166,	0.282744,	0.015276,	0.054027,	-4.159399,	-0.508921)
(0.500104,	0.309105,	0.015219,	0.049236,	-4.144184,	-0.508562)
(0.500022,	0.333351,	0.015841,	0.047522,	-4.128344,	-0.508314)
(0.500000,	0.282482,	0.015730,	0.055684,	-4.112615,	-0.508225)
(0.500001,	0.287788,	0.015542,	0.054004,	-4.097073,	-0.508233)
(0.500000,	0.312130,	0.015367,	0.049232,	-4.081706,	-0.508261)
(0.500000,	0.308053,	0.016621,	0.053954,	-4.065085,	-0.508267)
(0.500002,	0.336342,	0.016580,	0.049294,	-4.048506,	-0.508238)
(0.500008,	0.282446,	0.015216,	0.053872,	-4.033290,	-0.508177)
(0.500027,	0.310817,	0.015328,	0.049316,	-4.017962,	-0.508061)
(0.500047,	0.281985,	0.015331,	0.054370,	-4.002632,	-0.507879)
(0.500051,	0.314820,	0.015398,	0.048909,	-3.987236,	-0.507663)
(0.500038,	0.286035,	0.015430,	0.053945,	-3.971807,	-0.507450)
(0.500000,	0.349158,	0.016366,	0.046873,	-3.955441,	-0.507338)
(0.500034,	0.288622,	0.016276,	0.056392,	-3.939165,	-0.507430)
(0.500015,	0.336694,	0.016573,	0.049224,	-3.922593,	-0.507597)
(0.500001,	0.306608,	0.016566,	0.054031,	-3.906027,	-0.507681)
(0.500003,	0.335354,	0.016499,	0.049198,	-3.889528,	-0.507666)
(0.500011,	0.282837,	0.015356,	0.054295,	-3.874171,	-0.507678)
(0.500083,	0.316690,	0.015459,	0.048814,	-3.858713,	-0.507857)
(0.500213,	0.280296,	0.015167,	0.054110,	-3.843550,	-0.508203)
(0.500446,	0.301402,	0.014847,	0.049261,	-3.828712,	-0.508721)
(0.500583,	0.280930,	0.015159,	0.053960,	-3.813568,	-0.509402)
(0.500585,	0.313038,	0.015408,	0.049219,	-3.798178,	-0.510145)
(0.500604,	0.281271,	0.015192,	0.054011,	-3.783005,	-0.510885)
(0.500616,	0.307623,	0.015140,	0.049216,	-3.767883,	-0.511631)
(0.500624,	0.279014,	0.015070,	0.054011,	-3.752832,	-0.512380)
(0.500609,	0.304554,	0.015006,	0.049274,	-3.737844,	-0.513130)
(0.500307,	0.298752,	0.016127,	0.053981,	-3.721732,	-0.513828)
(0.500095,	0.329631,	0.016172,	0.049060,	-3.705567,	-0.514286)
(0.500023,	0.290794,	0.015752,	0.054168,	-3.689817,	-0.514525)
(0.500004,	0.313230,	0.015425,	0.049245,	-3.674393,	-0.514636)
(0.500005,	0.289836,	0.015640,	0.053960,	-3.658753,	-0.514648)
(0.500179,	0.307574,	0.015110,	0.049128,	-3.643644,	-0.514435)
(0.500477,	0.258078,	0.013959,	0.054088,	-3.629693,	-0.513961)
(0.500864,	0.279976,	0.013793,	0.049263,	-3.615918,	-0.513267)
(0.500924,	0.259906,	0.014025,	0.053960,	-3.601918,	-0.512432)
(0.501102,	0.273796,	0.013442,	0.049096,	-3.588503,	-0.511584)
(0.501252,	0.246870,	0.013405,	0.054298,	-3.575130,	-0.510670)
(0.501276,	0.274758,	0.013480,	0.049061,	-3.561684,	-0.509713)
(0.501183,	0.250396,	0.013570,	0.054194,	-3.548147,	-0.508760)
(0.501063,	0.276132,	0.013544,	0.049050,	-3.534634,	-0.507850)
(0.500936,	0.251416,	0.013583,	0.054027,	-3.521077,	-0.506992)
(0.501105,	0.273200,	0.012891,	0.047184,	-3.508213,	-0.506173)
(0.500990,	0.241278,	0.013507,	0.055983,	-3.494734,	-0.505299)
(0.501081,	0.262339,	0.012913,	0.049221,	-3.481848,	-0.504472)
(0.501163,	0.239534,	0.012910,	0.053897,	-3.468966,	-0.503611)
(0.501184,	0.262474,	0.012908,	0.049179,	-3.456088,	-0.502727)
(0.501102,	0.235332,	0.012998,	0.055231,	-3.443121,	-0.501847)
(0.500955,	0.271228,	0.013070,	0.048187,	-3.430078,	-0.501006)
(0.500834,	0.240671,	0.012999,	0.054010,	-3.417103,	-0.500226)
(0.480704,	0.263485,	0.012972,	0.049231,	-3.404151,	-0.499498)
(0.480587,	0.240388,	0.012941,	0.053834,	-3.391228,	-0.498816)
(0.480068,	0.263969,	0.013017,	0.049312,	-3.378220,	-0.498353)
(0.480055,	0.240483,	0.012989,	0.054014,	-3.365230,	-0.498309)
(0.480636,	0.310238,	0.015274,	0.049234,	-3.349964,	-0.498783)
(0.481116,	0.282139,	0.015256,	0.054073,	-3.334734,	-0.499678)
(0.501562,	0.308077,	0.015150,	0.049175,	-3.319624,	-0.500780)
(0.501730,	0.281591,	0.015192,	0.053952,	-3.304482,	-0.502015)
(0.500810,	0.295575,	0.014529,	0.049154,	-3.289991,	-0.503060)
(0.500199,	0.268394,	0.014526,	0.054121,	-3.275480,	-0.503708)
(0.500004,	0.293999,	0.014488,	0.049279,	-3.260994,	-0.503961)
(0.500001,	0.245231,	0.013245,	0.054011,	-3.247749,	-0.503982)
(0.500005,	0.268894,	0.013178,	0.049007,	-3.234571,	-0.503946)
(0.500013,	0.245112,	0.013277,	0.054166,	-3.221295,	-0.503873)
(0.500018,	0.270291,	0.013297,	0.049194,	-3.207998,	-0.503769)
(0.500017,	0.246541,	0.013326,	0.054053,	-3.194673,	-0.503656)
(0.500013,	0.271346,	0.013317,	0.049077,	-3.181356,	-0.503552)
(0.500012,	0.245081,	0.013264,	0.054121,	-3.168092,	-0.503457)
(0.500014,	0.268754,	0.013195,	0.049096,	-3.154898,	-0.503363)
(0.500018,	0.242619,	0.013138,	0.054152,	-3.141760,	-0.503258)
(0.500023,	0.266031,	0.013105,	0.049262,	-3.128656,	-0.503141)
(0.500026,	0.242657,	0.013087,	0.053930,	-3.115570,	-0.503012)
(0.500026,	0.278279,	0.013067,	0.046955,	-3.102504,	-0.502879)
(0.500027,	0.231600,	0.013036,	0.056285,	-3.089469,	-0.502745)
(0.500028,	0.263928,	0.012995,	0.049236,	-3.076475,	-0.502608)
(0.500031,	0.240064,	0.012952,	0.053951,	-3.063524,	-0.502467)
(0.500035,	0.262260,	0.012913,	0.049238,	-3.050612,	-0.502320)
(0.500038,	0.233630,	0.012880,	0.055131,	-3.037733,	-0.502165)
(0.500055,	0.268453,	0.012927,	0.048153,	-3.024807,	-0.501996)
(0.500295,	0.220909,	0.011921,	0.053962,	-3.012889,	-0.501720)
(0.500697,	0.268509,	0.011857,	0.044158,	-3.001043,	-0.501218)
(0.501015,	0.201611,	0.011908,	0.059065,	-2.989155,	-0.500536)
(0.481527,	0.229447,	0.011295,	0.049225,	-2.977888,	-0.499740)
(0.481861,	0.210575,	0.011363,	0.053959,	-2.966566,	-0.498786)
(0.480758,	0.236973,	0.011679,	0.049286,	-2.954918,	-0.497919)
(0.480212,	0.246747,	0.013289,	0.053857,	-2.941643,	-0.497322)
(0.480001,	0.234154,	0.011548,	0.049317,	-2.930097,	-0.497114)
(0.480151,	0.221633,	0.011968,	0.053998,	-2.918130,	-0.497230)
(0.480392,	0.234582,	0.011569,	0.049315,	-2.906567,	-0.497596)
(0.480748,	0.231069,	0.012456,	0.053904,	-2.894125,	-0.498183)
(0.480897,	0.260562,	0.012852,	0.049323,	-2.881295,	-0.498929)
(0.481019,	0.274297,	0.012649,	0.046116,	-2.868671,	-0.499723)
(0.501161,	0.219757,	0.012535,	0.057040,	-2.856164,	-0.500555)
(0.501124,	0.232445,	0.012525,	0.053884,	-2.843668,	-0.501411)
(0.500276,	0.258205,	0.012731,	0.049307,	-2.830954,	-0.502081)
(0.500001,	0.234918,	0.012659,	0.053887,	-2.818297,	-0.502311)
(0.500198,	0.247412,	0.012194,	0.049284,	-2.806104,	-0.502155)
(0.500834,	0.206677,	0.011169,	0.054040,	-2.794945,	-0.501699)
(0.501710,	0.221293,	0.010904,	0.049273,	-2.784067,	-0.500954)
(0.482483,	0.199075,	0.010734,	0.053917,	-2.773377,	-0.499982)
(0.483348,	0.211273,	0.010421,	0.049323,	-2.763019,	-0.498845)
(0.482030,	0.234179,	0.012613,	0.053859,	-2.750478,	-0.497500)
(0.480853,	0.274986,	0.012906,	0.046935,	-2.737611,	-0.496492)
(0.480186,	0.194132,	0.010926,	0.056282,	-2.726696,	-0.495992)
(0.480021,	0.225844,	0.011155,	0.049391,	-2.715544,	-0.495771)
(0.480001,	0.204359,	0.011007,	0.053860,	-2.704537,	-0.495717)
(0.480187,	0.253052,	0.012462,	0.049246,	-2.692077,	-0.495883)
(0.480330,	0.231162,	0.012773,	0.055256,	-2.679310,	-0.496290)
(0.480442,	0.263536,	0.012685,	0.048134,	-2.666635,	-0.496792)
(0.480508,	0.256417,	0.012691,	0.049494,	-2.653956,	-0.497353)
(0.480537,	0.235461,	0.012666,	0.053792,	-2.641304,	-0.497943)
(0.480551,	0.236571,	0.012706,	0.053709,	-2.628612,	-0.498538)
(0.481538,	0.227571,	0.011254,	0.049453,	-2.617379,	-0.499230)
(0.503124,	0.228073,	0.011243,	0.049294,	-2.606186,	-0.500281)
(0.504001,	0.212271,	0.011453,	0.053954,	-2.594814,	-0.501643)
(0.501418,	0.224184,	0.012047,	0.053737,	-2.582833,	-0.502900)
(0.500107,	0.289539,	0.014274,	0.049298,	-2.568579,	-0.503638)
(0.500099,	0.213762,	0.011525,	0.053913,	-2.557054,	-0.503674)
(0.500519,	0.221424,	0.010944,	0.049428,	-2.546115,	-0.503333)
(0.500699,	0.208678,	0.011229,	0.053808,	-2.534900,	-0.502788)
(0.501054,	0.214302,	0.010609,	0.049503,	-2.524309,	-0.502172)
(0.501306,	0.199906,	0.010740,	0.053724,	-2.513594,	-0.501443)
(0.501721,	0.211079,	0.010406,	0.049299,	-2.503219,	-0.500645)
(0.481907,	0.195623,	0.010546,	0.053909,	-2.492711,	-0.499745)
(0.482249,	0.206269,	0.010191,	0.049406,	-2.482565,	-0.498793)
(0.480429,	0.199078,	0.010711,	0.053802,	-2.471883,	-0.498007)
(0.480015,	0.208208,	0.010298,	0.049458,	-2.461588,	-0.497792)
(0.480697,	0.197493,	0.010612,	0.053736,	-2.450979,	-0.498084)
(0.482180,	0.211785,	0.010492,	0.049540,	-2.440514,	-0.498834)
(0.504100,	0.193847,	0.010409,	0.053695,	-2.430168,	-0.499968)
(0.505257,	0.209277,	0.010340,	0.049410,	-2.419923,	-0.501375)
(0.501788,	0.254236,	0.013678,	0.053800,	-2.406342,	-0.502999)
(0.500119,	0.266708,	0.013211,	0.049534,	-2.393153,	-0.503757)
(0.500135,	0.197229,	0.010588,	0.053686,	-2.382565,	-0.503784)
(0.500924,	0.205372,	0.010139,	0.049367,	-2.372434,	-0.503387)
(0.502575,	0.192476,	0.009493,	0.049322,	-2.362969,	-0.502649)
(0.505349,	0.140501,	0.007209,	0.051308,	-2.355813,	-0.501783)
(0.507892,	0.140927,	0.007320,	0.051944,	-2.348585,	-0.500624)
(0.489262,	0.131929,	0.006765,	0.051277,	-2.341936,	-0.499375)
(0.488533,	0.135355,	0.007049,	0.052074,	-2.335031,	-0.497959)
(0.486289,	0.125411,	0.006748,	0.053810,	-2.328400,	-0.496706)
(0.483067,	0.107759,	0.005797,	0.053798,	-2.322660,	-0.495895)
(0.481359,	0.105192,	0.005211,	0.049542,	-2.317473,	-0.495394)
(0.480731,	0.087144,	0.004673,	0.053618,	-2.312811,	-0.495080)
(0.480036,	0.076051,	0.003774,	0.049625,	-2.309039,	-0.494942)
(0.480108,	0.061060,	0.003274,	0.053613,	-2.305766,	-0.494948)
(0.480778,	0.066952,	0.003326,	0.049674,	-2.302442,	-0.495069)
(0.482565,	0.070735,	0.003792,	0.053605,	-2.298661,	-0.495358)
(0.486284,	0.084522,	0.004196,	0.049640,	-2.294500,	-0.495894)
(0.489215,	0.061878,	0.003311,	0.053507,	-2.291241,	-0.496480)
(0.487965,	0.076963,	0.003810,	0.049502,	-2.287501,	-0.497204)
(0.485663,	0.057751,	0.003155,	0.054630,	-2.284391,	-0.497734)
(0.484020,	0.068908,	0.003360,	0.048766,	-2.281065,	-0.498211)
(0.483256,	0.059241,	0.003172,	0.053548,	-2.277916,	-0.498601)
(0.483256,	0.069560,	0.003296,	0.047391,	-2.274642,	-0.498981)
(0.485223,	0.027148,	0.001515,	0.055803,	-2.273140,	-0.499176)
(0.487411,	0.030865,	0.001533,	0.049675,	-2.271626,	-0.499420)
(0.486098,	0.035939,	0.001924,	0.053530,	-2.269729,	-0.499742)
(0.504856,	0.044925,	0.002228,	0.049594,	-2.267526,	-0.500074)
