(min_dist,	velocity,	distance,	time_elapsed,	X position,	Y position
(1.000000,	0.000000,	0.000000,	0.000884,	-7.000000,	-7.000000)
(1.000031,	0.000000,	0.000000,	0.058928,	-7.000000,	-7.000000)
(1.034033,	0.971313,	0.099897,	0.043036,	-6.900380,	-6.992553)
(1.042718,	1.969382,	0.099897,	0.050725,	-6.803152,	-6.969614)
(1.081493,	2.074976,	0.099934,	0.048161,	-6.710133,	-6.933089)
(1.132171,	1.823663,	0.099962,	0.054814,	-6.621737,	-6.886413)
(1.188766,	2.144113,	0.099979,	0.046630,	-6.537535,	-6.832507)
(1.239246,	1.941000,	0.099989,	0.051514,	-6.456809,	-6.773507)
(1.297282,	1.785354,	0.099994,	0.056008,	-6.378828,	-6.710914)
(1.360015,	2.117957,	0.099997,	0.047214,	-6.302958,	-6.645775)
(1.425731,	1.941249,	0.099998,	0.051512,	-6.228685,	-6.578818)
(1.372435,	1.937767,	0.099999,	0.051605,	-6.155608,	-6.510558)
(1.299976,	1.929207,	0.100000,	0.051835,	-6.083418,	-6.441358)
(1.228356,	1.939971,	0.100000,	0.051547,	-6.011886,	-6.371479)
(1.157297,	1.940850,	0.100000,	0.051524,	-5.940838,	-6.301108)
(1.080004,	1.932896,	0.100000,	0.051736,	-5.870146,	-6.230379)
(1.000016,	1.923714,	0.100000,	0.051983,	-5.799716,	-6.159389)
(0.940030,	1.704993,	0.100000,	0.058651,	-5.729477,	-6.088209)
(0.860039,	2.249597,	0.100000,	0.044452,	-5.659379,	-6.016891)
(0.800046,	1.952493,	0.100000,	0.051217,	-5.589385,	-5.945471)
(0.720049,	1.934509,	0.100000,	0.051693,	-5.519465,	-5.873978)
(0.660057,	1.685449,	0.100000,	0.059331,	-5.449601,	-5.802431)
(0.620449,	1.049329,	0.046137,	0.043968,	-5.417679,	-5.769119)
(0.609142,	0.898525,	0.046176,	0.051391,	-5.388277,	-5.733515)
(0.581160,	0.833651,	0.045753,	0.054883,	-5.364541,	-5.694400)
(0.561950,	0.761724,	0.037140,	0.048758,	-5.350311,	-5.660094)
(0.569428,	0.733296,	0.037692,	0.051401,	-5.340801,	-5.623621)
(0.541234,	0.753137,	0.038713,	0.051402,	-5.335666,	-5.585250)
(0.540188,	0.742743,	0.038455,	0.051775,	-5.334612,	-5.546809)
(0.543230,	0.742812,	0.038306,	0.051569,	-5.336985,	-5.508577)
(0.568325,	0.633625,	0.032803,	0.051771,	-5.341429,	-5.476076)
(0.568693,	0.753875,	0.039904,	0.052932,	-5.349027,	-5.436902)
(0.566657,	0.697307,	0.038439,	0.055125,	-5.357679,	-5.399449)
(0.585810,	0.744342,	0.038165,	0.051274,	-5.366924,	-5.362421)
(0.585259,	0.714319,	0.037999,	0.053196,	-5.376511,	-5.325651)
(0.606489,	0.705203,	0.037357,	0.052973,	-5.385875,	-5.289487)
(0.607947,	0.756782,	0.037288,	0.049272,	-5.394747,	-5.253269)
(0.631670,	0.974324,	0.047638,	0.048893,	-5.404888,	-5.206723)
(0.627532,	0.825978,	0.047697,	0.057747,	-5.413277,	-5.159769)
(0.623741,	0.939018,	0.047225,	0.050292,	-5.419665,	-5.112978)
(0.641446,	0.957637,	0.047241,	0.049331,	-5.423981,	-5.065935)
(0.640242,	1.010345,	0.047134,	0.046651,	-5.426353,	-5.018861)
(0.640065,	1.227183,	0.063341,	0.051615,	-5.426963,	-4.955523)
(0.640806,	1.241112,	0.063891,	0.051479,	-5.425068,	-4.891660)
(0.642077,	1.245270,	0.064419,	0.051731,	-5.421004,	-4.827370)
(0.706128,	1.261832,	0.064814,	0.051365,	-5.415079,	-4.762827)
(0.715664,	1.250743,	0.065096,	0.052046,	-5.407543,	-4.698169)
(0.712469,	1.695855,	0.099991,	0.058962,	-5.392588,	-4.599303)
(0.709336,	2.265911,	0.099992,	0.044129,	-5.373143,	-4.501220)
(0.752547,	1.941592,	0.099995,	0.051502,	-5.349799,	-4.403988)
(0.853351,	1.941483,	0.099997,	0.051506,	-5.323475,	-4.307518)
(0.975121,	1.931808,	0.099997,	0.051763,	-5.294570,	-4.211790)
(1.077276,	1.929966,	0.099996,	0.051812,	-5.262829,	-4.116965)
(1.050394,	1.936982,	0.099997,	0.051625,	-5.228309,	-4.023116)
(0.997877,	1.948506,	0.099998,	0.051320,	-5.191571,	-3.930110)
(0.868097,	1.923303,	0.099999,	0.051993,	-5.153164,	-3.837781)
(0.764573,	1.943711,	0.099999,	0.051448,	-5.113524,	-3.745974)
(0.632243,	1.944693,	0.100000,	0.051422,	-5.072979,	-3.654562)
(0.547866,	1.216140,	0.062791,	0.051631,	-5.047147,	-3.597332)
(0.471280,	0.906895,	0.046914,	0.051730,	-5.027985,	-3.554509)
(0.421326,	0.758653,	0.039135,	0.051585,	-5.012681,	-3.518490)
(0.378332,	0.611775,	0.031559,	0.051585,	-5.001316,	-3.489049)
(0.338078,	0.541031,	0.027937,	0.051637,	-4.992344,	-3.462591)
(0.341677,	0.352675,	0.018538,	0.052563,	-4.987454,	-3.444710)
(0.318859,	0.312936,	0.015874,	0.050725,	-4.985035,	-3.429022)
(0.292992,	0.470704,	0.024202,	0.051418,	-4.984762,	-3.404821)
(0.313408,	0.273548,	0.014097,	0.051533,	-4.986467,	-3.390828)
(0.272645,	0.000000,	0.000000,	0.051675,	-4.986467,	-3.390828)
(0.289882,	0.219315,	0.022677,	0.051724,	-4.995344,	-3.369960)
(0.271471,	0.400604,	0.020579,	0.051371,	-5.005849,	-3.352264)
(0.302051,	0.349332,	0.019920,	0.057023,	-5.018560,	-3.336926)
(0.267569,	0.370886,	0.020161,	0.054360,	-5.033130,	-3.322992)
(0.306580,	0.570501,	0.024832,	0.043527,	-5.052505,	-3.307459)
(0.335531,	0.429542,	0.022233,	0.051760,	-5.070748,	-3.294751)
(0.305732,	0.448914,	0.026591,	0.059235,	-5.092791,	-3.279877)
(0.347892,	0.706353,	0.031189,	0.044155,	-5.118828,	-3.262707)
(0.368989,	0.630731,	0.032540,	0.051591,	-5.146267,	-3.245217)
(0.385783,	0.575838,	0.029643,	0.051479,	-5.171000,	-3.228876)
(0.401844,	0.563440,	0.029105,	0.051657,	-5.194256,	-3.211374)
(0.420136,	0.511341,	0.030187,	0.059035,	-5.216956,	-3.191477)
(0.460280,	0.748890,	0.032909,	0.043943,	-5.240218,	-3.168199)
